Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.661,60.661,screen dark,19.479126684500002
0,60.661,60.661,wifi running,0.0241976729
0,60.661,60.661,audio,0.0241976729
0,60.646,60.646,audio,0.0241916894
0.0,2.211257999999816,2.211257999999816,core 0 cpu_idle start,0.20437580811352302
2.211257999999816,61.524000000000115,59.3127420000003,core 0 cpu_idle,5.481987890006488
0.0,2.2030059999999594,2.2030059999999594,core 1 cpu_idle start,0.20361311594077627
2.2030059999999594,61.524000000000115,59.320994000000155,core 1 cpu_idle,5.482750582179235
0.0,2.210949000000028,2.210949000000028,core 2 cpu_idle start,0.2043472487483726
2.210949000000028,61.524000000000115,59.31305100000009,core 2 cpu_idle,5.482016449371638
0.0,2.2085919999999533,2.2085919999999533,core 3 cpu_idle start,0.2041294027169557
2.2085919999999533,61.524000000000115,59.31540800000016,core 3 cpu_idle,5.482234295403055
