Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.648,60.648,screen dark,19.474952196000004
0,60.648,60.648,wifi running,0.0241924872
0,60.648,60.648,audio,0.0241924872
0.0,2.1219999999998436,2.1219999999998436,core 0 cpu_idle start,0.19612612585998557
2.1219999999998436,61.414000000000215,59.29200000000037,core 0 cpu_idle,5.480070807960034
0.0,2.1114940000002207,2.1114940000002207,core 1 cpu_idle start,0.19515510744424042
2.1114940000002207,61.414000000000215,59.302505999999994,core 1 cpu_idle,5.48104182637578
0.0,2.1213229999998475,2.1213229999998475,core 2 cpu_idle start,0.19606355404697592
2.1213229999998475,61.414000000000215,59.29267700000037,core 2 cpu_idle,5.4801333797730445
0.0,2.123135000000275,2.123135000000275,core 3 cpu_idle start,0.19623102838257542
2.123135000000275,61.414000000000215,59.29086499999994,core 3 cpu_idle,5.479965905437445
