Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.646,60.646,screen dark,19.474309967000003
0,60.646,60.646,wifi running,0.0241916894
0,60.646,60.646,audio,0.0241916894
0,60.635,60.635,audio,0.024187301499999998
0.0,2.232864999999947,2.232864999999947,core 0 cpu_idle start,0.20637283789744512
2.232864999999947,61.3130000000001,59.080135000000155,core 0 cpu_idle,5.460489157792565
0.0,2.2299520000001394,2.2299520000001394,core 1 cpu_idle start,0.2061036034937729
2.2299520000001394,61.3130000000001,59.08304799999996,core 1 cpu_idle,5.460758392196237
0.0,2.230355000000145,2.230355000000145,core 2 cpu_idle start,0.20614085082116343
2.230355000000145,61.3130000000001,59.08264499999996,core 2 cpu_idle,5.460721144868846
0.0,2.2388850000002094,2.2388850000002094,core 3 cpu_idle start,0.20692923718006936
2.2388850000002094,61.3130000000001,59.07411499999989,core 3 cpu_idle,5.45993275850994
