Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.598,60.598,screen dark,19.458896471000003
0,60.598,60.598,wifi running,0.024172542199999997
0,60.598,60.598,audio,0.024172542199999997
0,60.576,60.576,audio,0.024163766399999998
0.0,2.24250099999972,2.24250099999972,core 0 cpu_idle start,0.20726344645010414
2.24250099999972,61.358999999999924,59.1164990000002,core 0 cpu_idle,5.46385010521989
0.0,2.23729400000002,2.23729400000002,core 1 cpu_idle start,0.20678218879822186
2.23729400000002,61.358999999999924,59.121705999999904,core 1 cpu_idle,5.464331362871771
0.0,2.3452629999997043,2.3452629999997043,core 2 cpu_idle start,0.2167612376591627
2.3452629999997043,61.358999999999924,59.01373700000022,core 2 cpu_idle,5.454352314010831
0.0,2.242185000000063,2.242185000000063,core 3 cpu_idle start,0.20723424010905586
2.242185000000063,61.358999999999924,59.11681499999986,core 3 cpu_idle,5.463879311560937
