Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,62.06,62.06,screen dark,19.928365870000004
0,62.06,62.06,wifi running,0.024755734
0,62.06,62.06,audio,0.024755734
0,62.06,62.06,video,0.024755734
0.0,3.743865000000369,3.743865000000369,core 0 cpu_idle start,0.34602720932748415
3.743865000000369,62.7470000000003,59.00313499999993,core 0 cpu_idle,5.453372422782544
0.0,3.743819000000258,3.743819000000258,core 1 cpu_idle start,0.34602295777149383
3.743819000000258,62.7470000000003,59.00318100000004,core 1 cpu_idle,5.453376674338534
0.0,3.744035000000167,3.744035000000167,core 2 cpu_idle start,0.3460429215995655
3.744035000000167,62.7470000000003,59.00296500000013,core 2 cpu_idle,5.453356710510462
0.0,3.745469000000412,3.745469000000412,core 3 cpu_idle start,0.3461754592360081
3.745469000000412,62.7470000000003,59.001530999999886,core 3 cpu_idle,5.45322417287402
