Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.667,60.667,screen dark,19.481053371500003
0,60.667,60.667,wifi running,0.0242000663
0.0,2.33471899999995,2.33471899999995,core 0 cpu_idle start,0.2157867070884654
2.33471899999995,61.4380000000001,59.10328100000015,core 0 cpu_idle,5.462628429851544
0.0,2.3386319999999614,2.3386319999999614,core 1 cpu_idle start,0.21614836662215645
2.3386319999999614,61.4380000000001,59.09936800000014,core 1 cpu_idle,5.462266770317854
0.0,2.3385560000001533,2.3385560000001533,core 2 cpu_idle start,0.21614134231229418
2.3385560000001533,61.4380000000001,59.09944399999995,core 2 cpu_idle,5.462273794627715
0.0,2.3642720000002555,2.3642720000002555,core 3 cpu_idle start,0.21851814695538363
2.3642720000002555,61.4380000000001,59.073727999999846,core 3 cpu_idle,5.459896989984626
