Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,61.321,61.321,screen dark,19.6910622545
0,61.321,61.321,wifi running,0.0244609469
0,61.321,61.321,audio,0.0244609469
0,61.311,61.311,audio,0.0244569579
0.0,3.2217800000000807,3.2217800000000807,core 0 cpu_idle start,0.2977734353314075
3.2217800000000807,62.402000000000044,59.18021999999996,core 0 cpu_idle,5.469739526928597
0.0,3.221516999999949,3.221516999999949,core 1 cpu_idle start,0.2977491275222053
3.221516999999949,62.402000000000044,59.180483000000095,core 1 cpu_idle,5.469763834737799
0.0,3.221132000000125,3.221132000000125,core 2 cpu_idle start,0.2977135438471716
3.221132000000125,62.402000000000044,59.18086799999992,core 2 cpu_idle,5.469799418412833
0.0,3.2223070000000007,3.2223070000000007,core 3 cpu_idle start,0.2978221433749101
3.2223070000000007,62.402000000000044,59.17969300000004,core 3 cpu_idle,5.469690818885095
