Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.521,60.521,screen dark,20.164961729500003
0,60.521,60.521,wifi running,0.025049641900000003
0,60.521,60.521,audio,0.025049641900000003
0,60.521,60.521,video,0.025049641900000003
0.0,2.1489879999999175,2.1489879999999175,core 0 cpu_idle start,0.20608930306243212
2.1489879999999175,61.198999999999614,59.0500119999997,core 0 cpu_idle,5.662933352307531
0.0,2.144594999999754,2.144594999999754,core 1 cpu_idle start,0.20566801159482642
2.144594999999754,61.198999999999614,59.05440499999986,core 1 cpu_idle,5.663354643775137
0.0,2.1485389999998006,2.1485389999998006,core 2 cpu_idle start,0.2060462436795509
2.1485389999998006,61.198999999999614,59.050460999999814,core 2 cpu_idle,5.662976411690413
0.0,2.143597999999656,2.143597999999656,core 3 cpu_idle start,0.20557239866670707
2.143597999999656,61.198999999999614,59.05540199999996,core 3 cpu_idle,5.663450256703257
