Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.602,60.602,screen dark,19.460180929
0,60.602,60.602,wifi running,0.0241741378
0.0,2.305453999999827,2.305453999999827,core 0 cpu_idle start,0.21308188565900402
2.305453999999827,61.28800000000001,58.982546000000184,core 0 cpu_idle,5.451469481780998
0.0,2.298727999999983,2.298727999999983,core 1 cpu_idle start,0.21246023423463842
2.298727999999983,61.28800000000001,58.98927200000003,core 1 cpu_idle,5.452091133205363
0.0,2.304582999999866,2.304582999999866,core 2 cpu_idle start,0.21300138337077762
2.304582999999866,61.28800000000001,58.983417000000145,core 2 cpu_idle,5.451549984069224
0.0,2.3057549999998628,2.3057549999998628,core 3 cpu_idle start,0.21310970562313733
2.3057549999998628,61.28800000000001,58.98224500000015,core 3 cpu_idle,5.451441661816864
