Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.636,60.636,screen dark,19.471098822000002
0,60.636,60.636,wifi running,0.0241877004
0,60.636,60.636,audio,0.0241877004
0,60.636,60.636,video,0.0241877004
0.0,2.0802189999999428,2.0802189999999428,core 0 cpu_idle start,0.1922645115034647
2.0802189999999428,61.34699999999998,59.26678100000004,core 0 cpu_idle,5.4777399386065335
0.0,2.0545689999999013,2.0545689999999013,core 1 cpu_idle start,0.1898938069189609
2.0545689999999013,61.34699999999998,59.29243100000008,core 1 cpu_idle,5.480110643191038
0.0,2.0546640000000025,2.0546640000000025,core 2 cpu_idle start,0.18990258730632026
2.0546640000000025,61.34699999999998,59.29233599999998,core 2 cpu_idle,5.480101862803679
0.0,2.057502000000113,2.057502000000113,core 3 cpu_idle start,0.19016488982527047
2.057502000000113,61.34699999999998,59.28949799999987,core 3 cpu_idle,5.479839560284728
