Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,61.123,61.123,screen dark,19.6274815835
0,61.123,61.123,wifi running,0.024381964699999998
0,61.123,61.123,audio,0.024381964699999998
0,61.123,61.123,video,0.024381964699999998
0.0,2.8186769999999797,2.8186769999999797,core 0 cpu_idle start,0.26051658815300816
2.8186769999999797,61.87099999999987,59.05232299999989,core 0 cpu_idle,5.45791863007698
0.0,2.818903999999975,2.818903999999975,core 1 cpu_idle start,0.2605375686575177
2.818903999999975,61.87099999999987,59.05209599999989,core 1 cpu_idle,5.4578976495724705
0.0,2.82778200000007,2.82778200000007,core 2 cpu_idle start,0.2613581189616665
2.82778200000007,61.87099999999987,59.0432179999998,core 2 cpu_idle,5.4570770992683215
0.0,2.825305999999955,2.825305999999955,core 3 cpu_idle start,0.26112927433977584
2.825305999999955,61.87099999999987,59.04569399999991,core 3 cpu_idle,5.457305943890212
