Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.602,60.602,screen dark,20.191950079
0,60.602,60.602,wifi running,0.0250831678
0,60.602,60.602,audio,0.0250831678
0,60.602,60.602,video,0.0250831678
0.0,1.9703569999992396,1.9703569999992396,core 0 cpu_idle start,0.1889584776248371
1.9703569999992396,60.982999999999265,59.012643000000025,core 0 cpu_idle,5.659349641665093
0.0,1.9680539999990287,1.9680539999990287,core 1 cpu_idle start,0.1887376184739269
1.9680539999990287,60.982999999999265,59.014946000000236,core 1 cpu_idle,5.659570500816003
0.0,1.9690089999994598,1.9690089999994598,core 2 cpu_idle start,0.18882920357561822
1.9690089999994598,60.982999999999265,59.013990999999805,core 2 cpu_idle,5.659478915714312
0.0,1.9728919999997743,1.9728919999997743,core 3 cpu_idle start,0.18920158572193838
1.9728919999997743,60.982999999999265,59.01010799999949,core 3 cpu_idle,5.659106533567992
